name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
Dip Tube Brush,670829W,6.95,Homebrew,,product,product,0
Distillers Yeast (Dady) (1 lb. Bulk Pack),G529063,9.99,Homebrew,,product,product,1
Dried Japones Chiles 2oz.,888690024427,3.95,Homebrew,,product,product,2
Dried Mugwort 1 oz,888690024199,2.99,Homebrew,,product,product,2
Dried Wormwood 1 oz,888690024175,2.99,Homebrew,,product,product,0
Drilled Universal Stopper (Fits Glass Carboy & 1 gal Glass Jug),Z626581,2.99,Homebrew,,product,product,8
Easin’ Into Cheesin’ Kit,Q713244,29.99,Homebrew,DIY FRESH CHEESE MAKING KIT -DIY FRESH CHEESE MAKING KIT INC,product,product,1
Easy Clean 5 lb,888690160194,19.99,Homebrew,,product,product,1
Easy Clean 8oz,888690060197,4.99,Homebrew,,product,product,4
"Easy Siphon 3/8"" x 26"" Racking Cane",825392006603,12.99,Homebrew,,product,product,2
Easy Turn Hose Clamp 1/2”,W170672,1.49,Homebrew,,product,product,5
Easy Turn Hose Clamp 3/4”,1377354,1.59,Homebrew,,product,product,0
Easy Turn Hose Clamp 5/8”,226001N,1.49,Homebrew,,product,product,0
"Elderberry Wine Base, Vintners Best 1 gal",888690039148,44.99,Homebrew,,product,product,0
Epsom Salt 2oz,843200116733,1.49,Homebrew,,product,product,5
Erlenmeyer Flask 5000ml,7118957,44.99,Homebrew,,product,product,1
amendments,$10.99	0,0.0,Homebrew,garden center > plant health > fertilizers,product,product,0
amendments,$10.99	1,0.0,Homebrew,garden center > plant health > fertilizers,product,product,0
Faucet and Hex Wrench,8906016671239,8.99,Homebrew,,product,product,2
Faucet Cleaning adapter,843200117358,7.99,Homebrew,,product,product,9
Fermaid K,843200100183,1.99,Homebrew,,product,product,0
Fermaid O,8221675,3.99,Homebrew,,product,product,1
Fermaid O,9271470,15.99,Homebrew,,product,product,0
Fermented Pickle Kit,843200145986,27.99,Homebrew,,product,product,0
Fermentis Safbrew HA-18 25 grams,3516664130016,11.99,Homebrew,,product,product,1
Fermentis Safbrew LD-20 25 grams,3516662240014,14.99,Homebrew,,product,product,1
Fermentis SAFcider Ab-1 Cider Yeast,Q563585,4.99,Homebrew,,product,product,0
FermFast 48hr Turbo 8.6oz,888690023000,7.99,Homebrew,,product,product,0
Fermfast Alpha-Amylase Enzyme 15 Gram,F409910,1.99,Homebrew,,product,product,4
